brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
NATURA,Aceite De Girasol Natura 1.5 L,$3.350,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-natura-1-5-l/p,aceites-y-vinagres,almacen
CAÑUELAS,Aceite Cañuelas De Girasol - 1.5 L,$3.010,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/427642-500-auto?v=636495153112630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-canuelas-de-girasol-1-5-l/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Girasol Cocinero 1.5 L,$3.100,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/614743-500-auto?v=637409203109900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-cocinero-1-5-l/p,aceites-y-vinagres,almacen
COCINERO,Aceite Oliva Extra Virgen Intenso Cocinero 500 Ml,$7.930,$12.200,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/649680-500-auto?v=637593932834030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-extra-virgen-intenso-cocinero-500-ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Clásico Oliovita 500 Ml,$12.750,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/568769-500-auto?v=637151736558500000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-clasico-oliovita-500-ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Oliva Cocinero Puro X500cc,$10.300,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/782788-500-auto?v=638203881803430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-cocinero-puro-x500cc/p,aceites-y-vinagres,almacen
NATURA,Aceite De Girasol Natura 900 Ml,$2.024,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/687695-500-auto?v=637799421695770000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-natura-900-ml/p,aceites-y-vinagres,almacen
LIRA,Aceite Oliva Lira Extra Virgen Pet 500ml,$13.400,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/649678-500-auto?v=637593932829370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-lira-extra-virgen-pet-500ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml,$9.815,$15.100,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/568751-500-auto?v=637151736502930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-oliovita-extra-virgen-clasico-500-ml/p,aceites-y-vinagres,almacen
CASALTA,Vinagre De Alcohol Clasico Botella 1 Lt.,$1.400,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567524-500-auto?v=637141369119900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-clasicox1lt-2/p,aceites-y-vinagres,almacen
FRITOLIM,Aceite Oliva Fritolim 126 Cc,"$2.697,5",$4.150,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/801832-500-auto?v=638373341224600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-fritolim-126-cc/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Vinagre De Alcohol Cuisine & Co 1l,"$787,5",$1.050,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/708316-500-auto?v=637921138480770000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-cuisine-co-1l/p,aceites-y-vinagres,almacen
NATURA,Aceite Natura Oliva Suave Bivarietal - 500 Ml,"$7.702,5",$11.850,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/801599-500-auto?v=638373335021370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-natura-oliva-suave-bivarietal-500-ml/p,aceites-y-vinagres,almacen
ZUELO,Aceite De Oliva Zuelo Original 500ml,"$11.681,15",$17.971,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/691466-500-auto?v=637814002898230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-zuelo-original-500ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Oliva Cocinero Extra Virgen X1l,"$15.047,5",$23.150,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/782784-500-auto?v=638203881787430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-cocinero-extra-virgen-x1l/p,aceites-y-vinagres,almacen
ZUELO,Aceite De Oliva Zuelo Intenso 500 Ml,"$11.681,15",$17.971,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/691465-500-auto?v=637814002895730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-zuelo-intenso-500-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Oliva Virgen Cuisine And Co 500 Ml,$6.305,$9.700,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/717389-500-auto?v=637981617892530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-virgen-cuisine-and-co-500-ml/p,aceites-y-vinagres,almacen
JUMBO MP,Vinagre De Alcohol Jumbo 500 Ml,$600,$800,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/206938-500-auto?v=636383702012630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-jumbo-500-ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Mediterráneo Oliovita 500 Ml,"$8.287,5",$12.750,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/568757-500-auto?v=637151736519530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-mediterraneo-oliovita-500-ml/p,aceites-y-vinagres,almacen
NATURA,Aceite Natura Oliva Andino 500 Cc,"$9.197,5",$14.150,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/801606-500-auto?v=638373335044530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-natura-oliva-andino-x500cc/p,aceites-y-vinagres,almacen
COCINERO,Aceite Oliva Extra Virgen Suave Cocinero 500 Ml,$12.200,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/649681-500-auto?v=637593932835430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-extra-virgen-suave-cocinero-500-ml/p,aceites-y-vinagres,almacen
NATURA,Aceite De Girasol Natura 126 Ml,$2.850,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/204046-500-auto?v=636383661707000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-natura-126-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Girasol Cuisine And Co 120 Gr,$2.700,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/601152-500-auto?v=637351320370800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-cuisine-and-co-120-gr/p,aceites-y-vinagres,almacen
MINERVA,Jugo De Limón Minerva 500 Ml,$1.550,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/836597-500-auto?v=638634155159600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/jugo-de-limon-minerva-500-ml/p,aceites-y-vinagres,almacen
LIRA,Aceite Extra Virgen Clasico Lira 1 L,$28.250,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/793494-500-auto?v=638303241827430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-extra-virgen-clasico-lira-1-l/p,aceites-y-vinagres,almacen
NUCETE,Aceite De Oliva Nucete Clásico 500 Ml,$14.749,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/708592-500-auto?v=637922866287230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-nucete-clasico-500-ml/p,aceites-y-vinagres,almacen
MINERVA,Jugo De Limón Minerva X1 Lt,$2.800,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/836613-500-auto?v=638634155223130000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/jugo-de-limon-minerva-x1-lt/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Clasica Oliovita 1 L,$30.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/568774-500-auto?v=637151736602900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-clasica-oliovita-1-l/p,aceites-y-vinagres,almacen
LIRA,Aceite Lira De Oliva Extravirgen Intenso X500ml,$8.710,$13.400,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/791316-500-auto?v=638285097900100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-lira-de-oliva-extravirgen-intenso-x500ml/p,aceites-y-vinagres,almacen
NATURA,Aceite Natura Oliva Fuerte Trivar 500 Cc,"$7.702,5",$11.850,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/801601-500-auto?v=638373335027030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-natura-oliva-fuerte-trivar-500-cc/p,aceites-y-vinagres,almacen
ARCOR,Aceite De Maíz Arcor 900 Ml,$4.650,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/581362-500-auto?v=637226034365670000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-maiz-arcor-900-ml/p,aceites-y-vinagres,almacen
LIRA,"Aceite Lira Mezcla X1,5 Lt",$6.700,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/614642-500-auto?v=637409202810300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-lira-mezcla-x1-5-lt/p,aceites-y-vinagres,almacen
PISI,Aceite De Oliva Extra Virgen Pisi X 500 Ml Bot 500 Ml.,"$9.067,5",$13.950,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/829322-500-auto?v=638581450338330000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-pisi-x-500-ml-bot-500-ml/p,aceites-y-vinagres,almacen
JUMBO MP,Vinagre De Manzana Jumbo 1 L,"$1.612,5",$2.150,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/206949-500-auto?v=636383702102800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-manzana-jumbo-1-l/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Genovesa Zuccardi 500 Ml,"$15.734,55",$24.207,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/790950-500-auto?v=638279698165270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-genovesa-zuccardi-500-ml/p,aceites-y-vinagres,almacen
CASALTA,Aceto Balsámico Redución Casalta 400 Ml,$7.450,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567511-500-auto?v=637141369082500000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceto-balsamico-reducion-casalta-400-ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Oliva Cocinero Extra Virgen X250cc,$4.160,$6.400,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/782787-500-auto?v=638203881799230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-cocinero-extra-virgen-x250cc/p,aceites-y-vinagres,almacen
PAMPA GOURMET,Vinagre Manzana Organico Pampa Gourmet 250 Gr,$5.700,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/621418-500-auto?v=637473138588630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-manzana-organico-pampa-gourmet-250-gr/p,aceites-y-vinagres,almacen
ZUELO,Aceite De Oliva Suave Zuelo 500 Ml,"$11.681,15",$17.971,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/638024-500-auto?v=637544431143800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-suave-zuelo-500-ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Oliva Cocinero Puro X1l,$12.740,$19.600,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/782786-500-auto?v=638203881795830000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-cocinero-puro-x1l/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Coratina Zuccardi 500 Ml,$24.207,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/790954-500-auto?v=638279698174900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-coratina-zuccardi-500-ml/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Picual Zuccardi 500 Ml,$24.207,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/801523-500-auto?v=638370526069770000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-picual-zuccardi-500-ml/p,aceites-y-vinagres,almacen
MAZOLA,Aceite De Maíz Mazola 900 Ml,$5.000,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/194799-500-auto?v=636383557391870000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-maiz-mazola-900-ml/p,aceites-y-vinagres,almacen
NUCETE,Aceite De Oliva Nucete Extra Virgen Suave 500 Ml,$13.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/805895-500-auto?v=638399147514400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-suave-nucete-500-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen Cuisine And Co 1 L,$25.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/755026-500-auto?v=638023089664800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-cuisine-and-co-1-l-2/p,aceites-y-vinagres,almacen
MENOYO,Vinagre De Alcohol Menoyo 500 Ml,$1.050,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/657926-500-auto?v=637637193175300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-menoyo-500-ml/p,aceites-y-vinagres,almacen
LIRA,Aceto Lira Pet X250ml,$2.850,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/771587-500-auto?v=638132062581870000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceto-lira-pet-x250ml-2/p,aceites-y-vinagres,almacen
MONINI,Aceite De Oliva Monini Extra Virgen 500 Ml,$19.600,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/485683-500-auto?v=636736170248930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-monini-extra-virgen-500-ml/p,aceites-y-vinagres,almacen
LIRA,Aceite Extra Virgen Clasico Lira 500 Ml,"$9.652,5",$14.850,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/793495-500-auto?v=638303241830300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-extra-virgen-clasico-lira-500-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Vinagre De Manzana Cuisine & Co 500cc,$1.200,$1.600,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/763113-500-auto?v=638076873912470000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-manzana-cuisine-co-500cc/p,aceites-y-vinagres,almacen
LIRA,Aerosol Lira Clásico X 120gr,$3.300,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/813384-500-auto?v=638441481962030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aerosol-lira-clasico-x-120gr/p,aceites-y-vinagres,almacen
NATURA,Aceite Mezcla Blend Natura 900 Ml,$4.300,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/208072-500-auto?v=636383711897100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-mezcla-blend-natura-900-ml/p,aceites-y-vinagres,almacen
NUCETE,Aceite Rocio Vegetal De Oliva Nucete 120 Gr,$2.080,$3.200,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/708593-500-auto?v=637922866289600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-rocio-vegetal-de-oliva-nucete-120-gr/p,aceites-y-vinagres,almacen
CAÑUELAS,Aceite De Girasol Cañuelas 900 Ml,$1.950,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/210381-500-auto?v=636383739908430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-canuelas-900-ml/p,aceites-y-vinagres,almacen
PUREZA,Aceite Girasol Pureza 1.5 L,$3.220,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/591713-500-auto?v=637290848785530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-girasol-pureza-1-5-l/p,aceites-y-vinagres,almacen
MONINI,Aceite De Oliva Monini Extra Virgen Delicato 500 Ml,$12.740,$19.600,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/485681-500-auto?v=636736170242670000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-monini-extra-virgen-delicato-500-ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite Oliva Cocinero Puro X250cc,"$3.542,5",$5.450,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/782785-500-auto?v=638203881791000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-cocinero-puro-x250cc/p,aceites-y-vinagres,almacen
LA TOSCANA,Aceite De Oliva Extra Virgen Con Albahaca La Toscana 250 Ml,"$8.807,5",$13.550,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/178797-500-auto?v=636383370818930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-con-albahaca-la-toscana-250-ml/p,aceites-y-vinagres,almacen
NUCETE,Aceite De Oliva Nucete Extra Virgen Clásico 500 Ml,$9.620,$14.800,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/708572-500-auto?v=637922866216000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-nucete-extra-virgen-clasico-500-ml/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Picual Zuccardi 250 Ml,"$9.147,45",$14.073,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/790952-500-auto?v=638279698169130000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-picual-zuccardi-250-ml/p,aceites-y-vinagres,almacen
CASALTA,Aceto Reduccion Casalta 250 Ml,$4.550,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/675791-500-auto?v=637722635202000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceto-reduccion-casalta-250-ml/p,aceites-y-vinagres,almacen
JUMBO MP,Vinagre De Vino Jumbo 1 L,$1.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/206948-500-auto?v=636383702097130000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-vino-jumbo-1-l/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Oliovita Changlot 500 Ml,$15.650,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/568752-500-auto?v=637151736505430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-oliovita-changlot-500-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Oliva Organico Cuisine-co 500 Ml,$16.000,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/771354-500-auto?v=638131306520370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-organico-cuisine-co-500-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen Cuisine And Co 500 Ml,$14.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/752324-500-auto?v=638011210724000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-cuisine-and-co-500-ml/p,aceites-y-vinagres,almacen
ALCAZAR,Vinagre Alcazar De Alcohol X 500 Cc.,$850,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/578416-500-auto?v=637203570240530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-alcazar-de-alcohol-2-2/p,aceites-y-vinagres,almacen
CASALTA,Aceto Balsamico Reduccion Casalta 250 Ml,$4.550,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567508-500-auto?v=637141369073100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceto-balsamico-reduccion-casalta-250-ml/p,aceites-y-vinagres,almacen
LIRA,Aceite Lira Oliva Ev Clas S-tacc X 500ml,$17.550,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/816476-500-auto?v=638470860553870000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-lira-oliva-ev-clas-s-tacc-x-500ml/p,aceites-y-vinagres,almacen
LA MOLISANA,Aceite De Oliva Tartufo Nero La Molisana,$3.965,$6.100,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/819279-500-auto?v=638489004095870000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-tartufo-nero-la-molisana/p,aceites-y-vinagres,almacen
CASALTA,Vinagre De Alcohol Casalta 500 Ml,$1.050,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567510-500-auto?v=637141369078270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-casalta-500-ml/p,aceites-y-vinagres,almacen
MAZOLA,Aceite De Girasol Mazola 120 Ml,$3.200,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/205585-500-auto?v=636383683499230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-mazola-120-ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Oliovita Extra Virgen Arbequina 500 Ml,$11.440,$17.600,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/568760-500-auto?v=637151736530130000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-oliovita-extra-virgen-arbequina-500-ml/p,aceites-y-vinagres,almacen
MENOYO,Vinagre De Vino Menoyo 500 Ml,$1.500,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/657925-500-auto?v=637637193171700000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-vino-menoyo-500-ml/p,aceites-y-vinagres,almacen
FAVINCO,Aceto Balsamico Espeso Favinco 500 Ml,$3.640,$5.600,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/567533-500-auto?v=637141369152270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceto-balsamico-espeso-favinco-500-ml/p,aceites-y-vinagres,almacen
COCINERO,Aderezo Cocinero 250 Ml,$2.600,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/771504-500-auto?v=638132062201400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aderezo-cocinero-250-ml/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Genovesa Zuccardi 250 Ml,"$9.147,45",$14.073,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/790951-500-auto?v=638279698167300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-genovesa-zuccardi-250-ml/p,aceites-y-vinagres,almacen
CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen Cuisine And Co 500 Ml,$9.425,$14.500,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/752323-500-auto?v=638011210721200000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-cuisine-and-co-500-ml-2/p,aceites-y-vinagres,almacen
CASALTA,Vinagre De Manzana Casalta 500 Ml,$2.050,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567516-500-auto?v=637141369094700000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-manzana-casalta-500-ml/p,aceites-y-vinagres,almacen
FAMILIA ZUCCARDI,Aceite Oliva Coratina Zuccardi 250 Ml,"$9.147,45",$14.073,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/790953-500-auto?v=638279698172230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-coratina-zuccardi-250-ml/p,aceites-y-vinagres,almacen
GOD BLESS YOU,Aceite De Coco Neutro God Bless You 125 Ml,$5.700,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/794082-500-auto?v=638307562257570000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-coco-neutro-god-bless-you-125-ml/p,aceites-y-vinagres,almacen
PUREZA,"Aceite Girasol Pureza 0,9 L",$2.100,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/591712-500-auto?v=637290848777400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-girasol-pureza-0-9-l/p,aceites-y-vinagres,almacen
DOS ANCLAS,Vinagre De Alcohol Dos Anclas 500 Ml,$1.000,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/180936-500-auto?v=636383404830970000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-dos-anclas-500-ml/p,aceites-y-vinagres,almacen
ZUELO,Aceite De Oliva Organico Zuelo 500 Ml,$24.209,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/763053-500-auto?v=638076657957570000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-organico-zuelo-500-ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Clásico Oliovita 250 Ml,$9.150,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/568753-500-auto?v=637151736508100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-clasico-oliovita-250-ml-2/p,aceites-y-vinagres,almacen
NUCETE,Aceite De Oliva Nucete Extra Virgen Intenso 500 Ml,$14.750,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/805896-500-auto?v=638399147517530000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-intenso-nucete-500-ml/p,aceites-y-vinagres,almacen
MAZOLA,Aceite De Girasol Manteca Mazola 120 Ml,$3.200,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/205651-500-auto?v=636383684763730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-manteca-mazola-120-ml/p,aceites-y-vinagres,almacen
GOD BLESS YOU,Aceite De Coco Virgen God Bless You 125 Ml,$8.100,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/794081-500-auto?v=638307562255030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-coco-virgen-god-bless-you-125-ml/p,aceites-y-vinagres,almacen
DICOMERE,Aceite De Coco Neutro Sin Tacc Chia Graal 360 Gr,$9.800,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/764009-500-auto?v=638083786107900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-coco-neutro-sin-tacc-chia-graal-360-gr/p,aceites-y-vinagres,almacen
LA TOSCANA,Aceite De Oliva Extra Virgen Con Ají Picante La Toscana 250 Ml,"$8.807,5",$13.550,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/178807-500-auto?v=636383371041600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-extra-virgen-con-aji-picante-la-toscana-250-ml/p,aceites-y-vinagres,almacen
