brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
SIN MARCA,Camarón Pelado Cocido Por Kg,$26.900,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496142-500-auto?v=636774294777230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/camaron-pelado-cocido-por-kg/p,mariscos,pescados-y-mariscos
REGENTE,Camarón Pelado Cocido 250 Gr,$6.599,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496082-500-auto?v=636774294579230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/camaron-pelado-cocido-superbe/p,mariscos,pescados-y-mariscos
SIN MARCA,Langostino Pelado Crudo 250 Gr,$5.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/423748-500-auto?v=636482194327200000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostino-pelado-crudo-250-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Mejillón Pelado Por Kg,$10.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496087-500-auto?v=636774294595500000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mejillon-pelado-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Langostino Pelado Cocido Por Kg,$29.900,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496152-500-auto?v=636774294807030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostino-pelado-cocido-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Pulpo Español Congelado Por Kg,$42.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496124-500-auto?v=636774294722800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/pulpo-espanol-congelado-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Tubo De Calamar Congelado Por Kg,$15.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/428209-500-auto?v=636495163329700000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/tubo-de-calamar-congelado-por-kg/p,mariscos,pescados-y-mariscos
PORTO BELO,Mejillones Pelado 250 Gr,$3.249,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496081-500-auto?v=636774294575930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mejillones-pelado-250-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Anillas De Calamar Congeladas Por Kg,"$12.742,5",$16.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/428134-500-auto?v=636495161624930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/anillas-de-calamar-congeladas-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Camarón Pelado Artesanos Del Mar,"$9.449,25",$12.599,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/809326-500-auto?v=638437053765600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/camaron-pelado-artesanos-del-mar-2/p,mariscos,pescados-y-mariscos
SIN MARCA,Mix De Mariscos Superbé 400 Gr,"$6.524,25",$8.699,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/608656-500-auto?v=637387608838730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mix-de-mariscos-superbe-400-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Calamar Entero Congelado Por Kg,"$6.592,5",$8.790,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496079-500-auto?v=636774294567670000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/calamar-entero-congelado-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Cola De Calamar Congelada Por Kg,"$4.492,5",$5.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496123-500-auto?v=636774294719370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cola-de-calamar-congelada-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Rabas Rebozadas Congeladas 300 Gr,"$6.299,25",$8.399,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/187293-500-auto?v=636383488544100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/rabas-rebozadas-congeladas-300-gr/p,mariscos,pescados-y-mariscos
PUERTO PLATA,Langostino Pelado Cocido 250 Gr,"$5.699,25",$7.599,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496080-500-auto?v=636774294571400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostinos-pelados-cocidos-superbe/p,mariscos,pescados-y-mariscos
SIN MARCA,Berberechos Pelado Cocido Por Kg,$14.925,$19.900,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496137-500-auto?v=636774294763000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/berberechos-pelado-cocido-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Paella De Mariscos Artico X 400 Gr.,"$6.449,25",$8.599,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496096-500-auto?v=636774294625070000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/paella-de-mariscos-artico-x-400-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Langostino Pelado Artesanos Del Mar,"$7.274,25",$9.699,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/809328-500-auto?v=638437053776270000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostino-pelado-artesanos-del-mar/p,mariscos,pescados-y-mariscos
SIN MARCA,Cazuela De Mariscos 1 Kg,"$12.742,5",$16.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/584300-500-auto?v=637245906167330000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cazuela-de-mariscos-1-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Langostino Entero Cocido Por Kg,"$13.492,5",$17.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/428177-500-auto?v=636495163105600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostino-entero-cocido-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Tentáculos De Calamar Congelado Por Kg,$12.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496122-500-auto?v=636774294715600000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/tentaculos-de-calamar-congelado-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Anillas De Calamar Superbé X 300 Gr.,$6.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/685152-500-auto?v=637782250233000000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/anillas-de-calamar-superbe-x-300-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Cazuela De Mariscos 500 Gr,$9.790,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/584299-500-auto?v=637245906164200000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cazuela-de-mariscos-500-gr/p,mariscos,pescados-y-mariscos
SIN MARCA,Mejillón Media Valva Congelado Por Kg,$14.490,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496151-500-auto?v=636774294803900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mejillon-media-valva-congelado-por-kg/p,mariscos,pescados-y-mariscos
SIN MARCA,Mejillón Pelado Artesanos Del Mar,$7.299,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809327-500-auto?v=638437053772400000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/mejillon-pelado-artesanos-del-mar-2/p,mariscos,pescados-y-mariscos
SIN MARCA,Langostinos Al Ajillo,$12.499,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809324-500-auto?v=638437053752330000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/langostinos-al-ajillo-2/p,mariscos,pescados-y-mariscos
